comment_ID,text
30,"I'll revise my opinion to receive criticism from ID1212. Partly,I agree with ID1212.Japan should also persuade China into joining in United Nations Security Council's resolution in order to show much stronger condemnation. But,in reality, it's very hard job.China is said to gain much profit from trade with North Korea. If so,Japan will continue to take strong measure to stop North Korea's provocative action."
31,"I thought that North Korea doesn't govern to the people, though its name is Democratic People's Republic of Korea. After I saw this news, my opinion is more strong. North Korea have to spend money to destroy the nuclear energy' s factory and solve starvation."
32,"When I heard this news on TV, I was terrified and gave up on North Korea. Whatever reason they have, they must not launch long-range rocket. Because Launching long-range rocket must be a factor threatening world peace, of course around Asia. I think North Korea will try to launch long-range rocket again. We shouldn't miss their action."
33,"I think the Japanese government has a serious problem. When North Korea's long-range rocket launched, America got information about launch immediately. But, Japan took much time to confirm the launch. I fear that if North Korea's long-range rocket breaks up above Japanese territory. So, I think Japan should take a hard look at crisis management."
34,"North Korea's government says the every people agree with current politics, but it has many problems -exile, Illness and hunger, for example-. I think the highest priority should be given to the health and happiness of the people!"
35,"I think it is very terrible that North Korea's rocket broke up around Japanese territory. If it had become reality, we might have suffered damage. And I think, if it were not for countries like North Korea, our world would be peaceful."
36,"As lest of others comment on the blog, I was also relieved of the failure of the DPRK's launching the missile. But, I think most Japanese does not realize the threat of that since they, I mean DPRK, always fail to do such a thing. Maybe that is not good thing so, we Japanese need to be more aware of it."
37,"In my opinion,we should think this problem from various angles.To be sure,North Korea should be imposed some sanction from other countries,as it disturbed order.If economical sanctions will be imposed, however,many people in North Korea will suffer from hunger and poverty.I wonder if people who are blameless should be punished.I think the most important thing is to show North Korean government how to manage itself and to go along with other countries."
38,"I have my opinion that however North Korea's rocket launch gave rise to criticism all over the world,North Korea will launch rocket again. But because of criticism by countries around North Korea,North Korea will fail to achieve its aim,supply of food and money and oil and so on."
39,"This North Korea's rocket made me think anew that North Korea is a very dangerous country. I think that they have more important things to do than reinforcement of military affairs, such as improvement of citizen's poverty and hunger. The launch failed, but I think they will launch a rocket again. In case of it, Japan have to be more careful and prepare systems perfectly."
40,"I have been interested in North Korea.So I was very surprised at this news when I heard it first time.I thought something might changed better after Kim Jong Il's death in North Korea.In fact,however,nothing changes against what I thought.Rather,North Korea goes worth.Someone should revolutionize the structure of North Korea. The launch of rocket failed this time.But North Korea is still serious threat to Japan.So we must pay attention to North Korea."
41,"I think this launch accelerate North Korea's isolation in the world. The 'satellite' cost a lot of money that would improve the people's life such as food, health and education. In the country, lot's of children around my age are starving and only a few upper class people lead a luxury life.Japan have to make effort to improve the situation."
42,"Luckily, this time the launch project has failed. But there's no guarantee that next time the result will be the same. Needless to say its very dangerous. Japan must continue to do economic sanction,and we Japanese should be cautious about that country."
43,"When I first heard this news on TV, I really felt sorry for the North Korean citizens who suffer from hunger and insanitary conditions. The governments of this company never try to use their money to solve such problems, or even more, they spend a lot of money launching those rockets....which will never be of use."
44,I am interested in North Korea. I felt relived that there were no casualties.And the horror of North Korea was felt again. The government of Japan should addressed more quickly. So Japan should pay attention to North Korea carefully. I want keep more attention to the news.
45,"Despite North Korea's provocation fell to the failure, they will continue to provoke. The countries bordering North Korea such as Korea and China are now undergoing severe political changes. North Korea will never disregard this chance. I think not only bordered countries but United Nations have to intensify the pressure toward North Korea to stop it's provocation."
46,"When North Korea failed to launch the rocket, Japanese government failed also. It failed to get information about the rocket. It didn't know whether the rocket was launched or not, and needless to say, whether the launch was succeeded or not. I suspect Japanese government have the ability to save Japanese people in a crisis."
47,I can't understand how the people want to do cosmetic procedure feel. I shudder at the mere mention of it.Bury the implant in own face? Its so horrible!
48,"At first, I thought it became safer after North Korea failed to launch the missile. A sense of security that Japan has a great technique reliably enough to intercept the missile supported my thought. But an article which I read after the English class made my mind. The article said that Japan has a 80% success rate in intercepting the missile. I was very shocked about it. If North Korea succeeded in launching the missile, it produced a number of casualties 20% of the time! We cannot guarantee that next time will be safe like this time so I thought Japan should improve the technique of interception as soon as possible."
49,"I don't understand the necessity of changing one's face through cosmetic-surgeury.Patients have to run a risk as well as pay much money. If they want to restore their youthful look,they can have massages instead of cosmetic surgeries.They must be safer though it costs money and time."
50,I don't know whether cosmetic-surgery is right action or not. But I believe that it has a big risk to hurt our body. I want to change my body but I will not to change it because it is too dangerous.
51,"I agree with the cosmetic surgery. Because I think it's natural for people to want to get beauty and being confident in own looks is very important. Actually, people appearing on TV program featuring plastic surgery often look lively and nice after the operation. So I also think cosmetic procedure including 'chin jobs' is one of ways to live happily for us and no one can criticize for that action."
52,"Having read this article, I recognized the sense of crisis and thought about what Japan should do to cope with it. But, what I want to say is that Japan should not just criticize North Korea for conducting things such as launching missiles but should try to know why they are doing this kind of provocation, and then we should find a solution."
53,"I think the main purpose of North Korea's long-range rocket launching was to boost national prestige and to congratulate Kim Jong-un for assuming the new leader. However North Korea's rocket launch failed. This failure to launch the rocket showed that North Korea lost prestige in a new order. Therefore I'm worried that North Korea will carry out the third nuclear test. Japanese government should watch out North Korea's action continuously. Concerning Japanese government reaction this time,I agree with ID1240's opinion. Japanese government needs to reexamine the ways of providing people with information to save nation."
54,"I'm relieved to hear that North Korea's long-range rocket failed, but also I feel very scary. There are some reason. First, I believe international relations is not good between North Korea and Japan. As everyone knows, there is the issue of abducted Japanese taken to North Korea. Some North Korean doesn't like Japanese, and it makes situation worthier. If a launch is successful next time, it is obvious that Japan would be threatened more than now. Second, I think North Korea takes pride in own country and abilities, and this failure will lead them to make better rocket enthusiastically. I expect they will try hard again and again and success in launching a rocket in near future. It scared me a lot. To cope effectively with a terrible situation, I consider that Japan should gather more information about them. Only a few information, we are not able to do anything good for Japan."
55,"When I heard that North Korea planned to launch the rocket, I was indignant at a lack of repentance. If I remember correctly, this is the third time to launch the rockets or missiles without the approval of North Korea's neighbors, like Japan. I speculate that this launch is for celebrating Kim Il Sung's birthday or appealing Kim Jong-Un's authority. Also I guessed that it would not be going to be well, so my guess was exactly right. Now, I am relieved that no one was killed in this matter. But I am afraid for the safety of the scientists of North Korea. Because the leaders have executed cruelly many people made blunders or resist the government. Since the leader changed, this action has been activated. If worst comes to worst, they have already died. North Korea may run a nuclear test or launch the rocket again in the future. In order to save the nation certainly, I suggest that the Ministry of Defense improve the system to announce. And needless to say, we should keep to paying special attention to this matter."
56,"As the article said, North Korea's long-range rocket failed. I am relieved to hear that. However, now I am worried about what North Korea does next. If they are going to make new rocket, it will make matters worse. I really want to say that Japanese government should think about North Korea's actions."
57,"Failure of the launch of the missile made me relieved. However North Korea is still furthering military development,so there are some uneasiness left. Military affairs of Japan is not prepared,so Japan will be threatened in North Korea. To solve this,Japan should elaborate the armament and the measure for protecting its own country rather depending on foreign countries."
58,"i think it is really hard say whether cosmetic surgery is right or wrong. because as ID1206 say, it is natural that people wants to be beautiful and also other people say surgery involves high risk. but i believe if person wants to be beautiful he/she should do surgery because advance in medical technology can get rid of person's unconfident looks and make person's life happier......maybe...."
59,"Many people say that they feel safer after North Korea failed the rocket launch, but I am not one of them. I am rather afraid that North Korea creates another rocket, likely to be a stronger one, to actually attack Japan. I think that the Japanese government has to be more desperate to prepare for anything that can happen. It is very important that the government makes Japanese citizens always aware of the danger they are facing and have them ready for escape."
60,"I didn't agree with the cosmetic-surgery at first because it cost a lot like 1million for just one, small operation. I thought it's waste of money and we should use the money for something else. But as ID1206 said, it's natural for people to want to get beauty. Some are not satisfied with their looking and envy their nice-looking friends. And in some cases, so-called ugly students become the target of bullying. So I understand their feeling. But I still cannot agree with the liposuction because it's just the result of lack of effort. If people want to get thin, they should reconsider their dietary habit and start exercising not just depending on surgery. I know some people cannot lose their weight because of some kind of diseases but in most of the cases, I guess such people are overeating. Anyway, I can agree with cosmetic-surgery except for liposuction."
61,"↑sorry, '1 million yen' is correct"
62,"To tell the truth, I don't really care whether they do cosmetic surgery or not. We humans have the right to chose whatever we wanted to do, so it's up to the individual choice. But if I were asked to do cosmetic surgery, I definitely won't do that. It seems very painful to me and, moreover, I feel sorry for my parents by hurting the body they gave me. But if an individual can augment happiness of his/her life by doing cosmetic surgery, I can't stop them. You only live once. Just try what you think is the best !!"
63,"I think it is personal liberty, so that it is up to her/him as ID1218 said. She/He do cosmetic surgery because she/he doesn't like her/his look and doesn't have confidence for her/himself. If she/he has a lot of money, it would not be a problem at all. Shizukamiyazato said he can't understand at all why they do cosmetic surgery, however, I can understand their feelings. To tell the truth, I did straightening teeth, and I believe it is similar to cosmetic surgery. Many women want to be more beautiful any time. We do diet and make efforts, for example, however, our efforts are all for nothing sometimes. It's so vain. These days, technology has been developed day by day, so I think she/he who want to be change should try cosmetic surgery once. I bet her/his life would be different from the past."
64,"I agree with ID1218 and ID1245's idea. Whether you have plastic surgery or not depends on individual liberty. If you want to become beautiful, you might have plastic surgery after deeply thinking risk of it failing. What is more important than this, you should not have prejudices against the people who have plastic surgery. Especially in Japan there is the number of the people who have biased view against plastic surgery. Incidentally I don't want to have plastic surgery because I am very afraid of being operated."
65,"I think it dependent on the person whether cosmetic-surgery are carried out. In Japan, many people want to change their bodies. It is natural to want to become more beautiful. But I don't think so. This is because I want to take good care of myself."
66,"I am sure there are a great number of people who wish to be more beautiful and imagine the result of cosmetic surgery. It is natural that living people seek the beauty. But I hear that it is too expensive and so risky that they tend to hesitate to have surgery. And, as ID1244's opinion, Generally Japanese tend to scorn people who underwent surgery. For example, some actresses whose figures have changed obviously are criticized on the Internet. I think this is the biggest issue about cosmetic surgery. We should be more tolerant to this matter. Whoever hopes and afford to have surgery ought to carry out without any hesitation. By the way, if I get rich in the future, I may hope surgery."
67,"I heard that straightening our teeth helped us build up our health. I don't think too much cosmetic surgery is good,but I don't clearly say that cosmetic surgery should not done. Having cosmetic surgery makes people feel confident and happy."
68,"I don't think I want to do cosmetic procedure because it costs a lot, and it's dangerous. But I can understand why many people want to do it. Of course, I admire the person who is a handsome. In the end, I think it's free to do cosmetic surgery or not."
69,"I think cosmetic surgery is a way to lead a better life. If you do cosmetic surgery and can make your life better, it will be meaningful deed. However,even though you change your face, you can't your life unless you change yourself. And it costs a lot and may be dangerous. So you should drop into deep thought before you do cosmetic surgery."
70,"Cosmetic surgery occasionally fails. So, this procedure has risks. But, I have no reason to disagree with cosmetic surgery. There are a lot of people who worry about their own looks. For some people, this problem influences their lives and works. So, I think it is inexpensive to dissolve these problem to spend money. Anyway, cosmetic surgery is a personal matter. Other people shouldn't interfere. If we undergo cosmetic surgery, we should do our responsibility and judgment."
71,"I don't think people should not have cosmetic surgeries. Whatever we say, we are likely to judge others from their appearances. Therefore some people have senses of inferiority as they don't want to live any more. If they thought that they couldn't live without having cosmetic surgery, I think that will be OK. So I generally agree with cosmetic surgeries. But some people depend on cosmetic surgeries, run through their entire money, fail surgeries, repeat it endlessly, and fall into what we call 'cosmetic surgery hell'. Although I don't deny cosmetic surgeries, in order not to be in such traps, people should consider it again and again before having cosmetic surgeries."
72,"I think cosmetic surgery is very important to some person. Because it becomes a tool in order to lead a good life. When I dislike my face, it may be able to lead the life it is better to cosmetic surgery. So I think cosmetic surgery is not but."
73,"To be sure cosmetic surgery may be important to some people. I can understand their thought. But I can't think cosmetic surgery is good. At least I have not thought I want to do that. As many people said,cosmetic surgery cost a lot and is very dangerous. Doing something to body is very awful for me,even that is normal surgery."
74,"I don't think plastic surgery is bad. I'm not woman, but I can understand of hoping to be beautiful. One of my eyelids is with no fold, and other is double-fold. I really dislike them! Men feel beautiful to the symmetry things. So my face is not beautiful I think. I think if their problems can be solved by money, it's so good. It's the best way,no one feel sad, everyone feels happy, if you understand operations' danger."
75,"I think it's unnecessary to change each face.I have never thought that I'm handsome, and It's the natural that everyone wants to be handsome, pretty, beautiful, or nice face, however we should accept each inborn face.However ugly your face is, someone loves you!! In addition cosmetic surgery cost a lot and it's unsafe.In short I think it's needless"
76,"I can understand feeling of people who want cosmetic surgery,but I don't want to do cosmetic procedure. Because it take a lot of money and it's very dangerous. I think everyone should have confidence to face more. I looked at the picture of Bruce Forsyth, I was surprised at the size of his chin."
77,Thinking to want to restore our youthful look is good .So I think cosmetic surgery is not bad.However cosmetic surgery hurts our bodies and it's very dangerous.Under certain circumstances we died from cosmetic procedure.So I think cosmetic surgery is not worth taking risks.
78,Cosmetic surgery has been popular recently in the world. I think it should be important if surgery is not endowed from the parent face.I want my children to cosmetic surgery is not absolute.
79,"I suppose that these kinds of cosmetic surgery will be more popular in several years ,and that not only in the US but in Asian countries such as China, South Korea etc,the demands for them will be rapidly increasing year after year. Today,these operations still cost too much,but as the technology is improving,these cost will lessen and many more people will undergo them without thinking seriously."
80,"I think that we have freedom of choice. But it costs patients a lot of money to be operated on for cosmetic surgery and maintain their bodies or face. Furthermore, as the article, if people are operated, most of them come to want to be modify other parts. In the end, their bodies or face will lose their shapes. It is true that if you are operated, you may be beautiful and gain confidence. However, it is the only short term. So I strongly believe that it is better that you aren't operated."
81,"A chin is charge of various functions such as mastication. Thus if we have cosmetic surgery on our chin, we may look nice, but the original functions may decline at the same time. I think we shouldn't have cosmetic surgery which exposes us to health hazards."
82,"In Japan, implants are unusual surgery. The patients try to hide that they did cosmetic surgery. This is because Japanese environment can't accept cosmetic surgery as a usual thing. On the other hand, in America or Korea, many people do cosmetic surgery in order to become younger. It shows that America has many kinds of people in country, so that they are used to accept different points of each other. This is one of the good points of American culture. At this point, I think Japan should learn this culture."
83,"I tried to make good vocabulary notes every time, but I have never made perfect vocabulary notes. Also, this is the first time which I thought about how to write good vocabulary notes again. I saw some notes in class, and I could find what is important to make a good note. I should write meanings, parts of speech, pronunciation, accent, and examples. Moreover, I think world maps are important part for good vocabulary notes. By using world maps, we can learn not only one word but also other words which connect with one word at the same time. Word maps help us to learn many words. From now on, I want to make a beautiful vocabulary note in order to improve my English skill!"
84,I think it is okay to do cosmetic surgery if the person wants to do and need it. It is expensive and dangerous so I would not recommend the person to do so unless if the person really needs to.
85,"I myself don't want to do cosmetic surgery. I think what the person is like is far more important than how he/she looks.On the other hand ,I admit that there is a opinion such that ones first impression is quite important and it's greatly depend on ones features.So, I don't care other people do cosmetic surgery."
86,I think that the cosmetic surgery will damage your body or heart sometimes. The result after taking the surgery might be different from your ideal. I recommend that the person who wants to have cosmetic surgery need to think about that danger. I do not want to have the surgery because I feel so dangerous to have the surgery.
87,"I think that it is individual freedom. Desire to become beautiful is a natural thing.Even if it is able to sympathize, I don't want to have plastic surgery. Plastic surgery is different from makeup or diet,I feel like it is denying oneself. Moreover life does not necessarily become bright just because you have plastic surgery. Not only appearance but an inside is important. Things will turn out fine if you have enough determination."
88,"I think people who have plastic surgery abandon themselves. If you want to look better, you need to make extra special efforts. I never thought of having plastic surgery, but I have been trying various things to look better such as doing some running and restricting the amount of food for reducing fat. People should confront themselves and do their best to get better look."
89,"When I read this article, I think this news shows how Japanese and people around world feels about plastic surgery. I had read the article that 80% of Korean have plastic surgery (Not sure all Korean or only women). Also, many of them publicize that they had plastic surgery. On the other hand, Japanese want to hide whether they had plastic surgery. I think this is one of examples that show Japanese 'shame' culture."
90,"I have made vocabulary notes just like the first example of one. but,I realized it is not good when I read this article. My note is no accent and example sentence and so on. I think that word maps is good idea. It becomes easy to understand the connection of the sentence make a good note refer to this example notes. I will try to make a good note refer to example vocabulary notes ."
91,"I have made my original vocabulary notebook including collocations and word senses, for around seven years. It gradually contained a lot of information,so I have revised it several times. Recently I forgot lots of information on it. I think my note have two faults. First it is too large to carry . It is B5 size, so I cannot review what I wrote on mine when I am on the crowded train. The next note should be smaller. Secondly I have not written English sentences and word's meanings in English. That is why I easily forget what I wrote. When I make the next, I will improve those faults."
92,"I think that plastic surgery is no good. Faces are one of most characteristic parts of people. To process them would confuse their relationships, have a bad influence. When you want to change yourself, you should improve your inside."
93,"I want to refer to the third example of vocabulary note because each main words are very distinct and easy to find, also, we can remember the word family at the same time. Its knowledge will be necessary to write English composition. When I make my vocabulary note, I want to add the meanings of the words in an English-English dictionary. I think it can be useful for not only when we need to explain a word to another non-native speaker (according to this article), but also understanding real notion of the words. I really want to improve my English skill by ma king vocabulary note."
94,"I think most important for vocabulary note is careful. For example beautiful character, tidied up carefully etc----- Because carefully vocabulary note is motivated to us compared with a dirty note. I would like to refer to the first example vocabulary note. But it is not good as it is. It is necessary to add the above some element. I am poor at English. So I absolute necessity perfect vocabulary note. From now on, I would like to make the perfect note."
95,"So far, I have written only Japanese meanings and synonyms in my vocabulary notebooks. This method is adequate just for expanding the vocabulary and enhancing reading skills. However, in developing writing and reading skills,adding example and collocations to the notebooks will be better. I'm often puzzled about how to use words when writing and speaking. Now,I'll try this new method. Writing part of speech and pronunciation may also be good way of improving listening and speaking skills,but it must be much better to listen to native native speaker's pronunciation."
96,"I can understand why there are people who would like to change their body or face by plastic surgery. They believe that if they get their ideal bodies and faces, they could get their ideal lives. But, I think that plastic surgery is not good. Our bodies and faces are given by our parents. If we change our bodies and faces by performing operations on those, they must unpleasant. So, I don't think I would like to have any plastic surgeries."
97,"I oppose the idea of changing faces and bodies artificially. The effect of cosmetic surgery is not permanent. That is why some people is compelled to have surgery again and again. As a result, they could lose their identity. I argue that you should accept your appearance and make an effort to development many thing except for your one.Then you can get your confidence. **name** **name**"
98,"As you know, it is very easy to learn English in Japanese if you are not good at English.We Japanese usually think matters in Japanese,so I suggest them to learn English in Japanese at first. But after you get used to learning English, I mean after you have less problem using English, especially communicating in English, it is very important to learn English through English. That's because you never understand nuance of English if you keep on learning them through Japanese. I also recommend to learn English using an illustrative sentence. It is very effective to know how the word is used, and you can borrow those phrases when you actually write or speak English. But what we have to pay attention to most is that you shouldn't get satisfied just making vocabulary notebooks. What is important is to remember the words and have a chance to use them. You should make them in a way that is easy for you to remember in the most effective ways. Tips for those who is not good at remembering words: Aren't you using many hours just making vocabulary notebooks? Then stop that and reconsider why you are doing such a thing. That is to remember the words and actually using them in writings or in the real situations!"
99,"I think that there are three points to make better vocabulary notebooks. Firstly, you should write the words' meanings and accents. Of course, the purpose to make vocabulary notebooks is to learn the words that you don't know. It is easy to learn them by knowing their meanings . Furthermore, if you learn their accents, you can pronounce them. So you are able to learn their words not only by the sense of sight but also by the sense of hearing. Secondly, you should write the example sentences of them. By example sentences, you will be able to learn how to use them. And you can learn collocation. There are synonyms but words have also nuance. If you don't know collocation, you may not be able to convey your feeling. So it is necessary to write example sentences. Finally, you should write the images of the words. How to write is a picture, sentence and so on. If you have the images, it will be easy for you to learn the words. This is because the words become memorable and lead to collocation. Therefore, I recommend three points."
100,"When I learn new words, I lay emphasis on their practical use. If you learned a new verb by just memorizing its spelling and meaning, you will manage to understand the meaning of the verb in most passages. However, when you write compositions or speak in English using that verb, you will be at a loss about what is proper preposition for the verb ,or what noun to use together, or the pronunciation of it. Thus I think that there's no use making a vocabulary notebook only with English words and their Japanese meanings, and that you should write the co-locations, pronunciations, and part of speech of new words to make a useful vocabulary notebook. In fact, rarely have I made a vocabulary note so far, so I will improve my vocabulary by making and using vocabulary notebook."
101,"I started to remember the English word from the middle grades become, until now to write an English word to the left, we have to remember to write the meaning next to it in Japanese.Note that I can not explain the meaning to native speakers, however. I do not know well what I say with how if you did not write a sentence using that word again.And now I think I want to make a note using the color easy to see the English meaning, and example sentences using the word rather than just write the meaning of a word in Japanese so."
102,"When I was a high school student, I made my vocabulary notebook. But it was written only the meanings of the words. I think the vocabulary note is practical more. So I try to do new methods of vocabulary notes. First, I try to use word maps. But it was difficult to understand and taking long time. So I try to add the example sentences.Example sentences are useful for memorizing words.I want so I don't forget that continue to make the vocabulary notes."
103,"I have some complex with my face. But I haven't want to have plastic surgery. Because my face is important identity of myself. If you change your face and body by plastic surgery, it means that you lose your identity. If you change your face, you lost reliance and have more complexes about your looks. So I think that plastic surgery should not be done in any account."
104,"I think whether people decide to change their faces or other parts should be depended on their own mind.For some people who think their looking is not good,it may be wonderful that they can modify their bodies with new technology. But I am concerned about something.Do surgeons give customers enough information about their operations?There must be some risks with the procedure.The customers should know about them.The doctors should explain the details of the operations to their customers and the customers should think with that explanation."
105,"I am opposed to cosmetic surgery.This is because it may lead people who get the operation to being frustration.For example,Michael Joseph Jackson had had an operation in succession because of his wish that he wanted to be more beautiful."
106,"I think the second example is the best vocabulary notes of all. Whenever I study English, I feel necessity to think in English. I'm poor at English. So, I always think English sentences and words through Japanese. This thinking way takes much time and sometimes makes mistakes. So, I want to learn the way to think from English to English directly. I'm going to make a vocabulary note like the second example as first step for English-English thinking."
107,"I think that no one knows what the perfect vocabulary notebook is.Because we have different own English ability,so what we want to need about English vocabulary notebook is different from each other.For example,when I was a high school student I want to memorize English words and its Japanese meanings.So I devoted much time to reading.Thanks to this study,I know many English words and its meanings.But I don't know how to use those words.This study is of no practical use.So refer to 'Vocabulary Notebooks',I am going to search the most fittest notebook to me."
108,"There are difference between studying English and just learning English words by heart when we make the vocabulary notes. First, when we want not only to memorize words but also to study English, we should write many related words;collocations, word map, and synonyms on the notes. On the other hand when we just want to memorize English words, we should write English words and meaning by Japanese or English."
109,"I have made some vocabulary notes since junior high school student.There were various notes.I have already tried first,second and third examples of this article.And I like the style of first example.I think that type is clear and easiest to memorize.Of course, it is useful that there are English meanings or example sentences and I can remember other information.But my notes with too many information were often complex and it was hard to continue to memorize the words.So I want to try other type of notebooks but try not to make too complex notebooks.I want to create notebooks that are best to memorize for me."
110,"I'm poor at learning English words. So I can't speak like native speaker. If the thing I want to speak comes to my mind in Japanese, I can't translate it to in English because my vocabulary is too poor. But I'm sometimes said 'Your English is not bad. Are you good at English?' I can't understand why they think it. But when I speak English, I try to use easy English and I think it is better to continue speaking than think of difficult expression. I want to speak difficult things, I explain it by easy English. So my best way to learn new English is to explain that word by my word."
111,"When I make my I wrote only Japanese meaning so far.This style is so easy to do.But,It isn't good for learning English. I think, is most effective method.However,It is lacking.When I make my vocabulary note next time, I will write Japanese meaning,pronunciation,and word family as third example.And,I will write example sentence,too.I want to make perfect vocabulary note!"
112,"I think English meaning notebook is the best. I have been made English meaning notebooks which written main word and synonym. It is useful because you can memorize many words at once. If you use this method, you can remember another word even if you forget word which you want to speak."
113,"When I made vocabulary notebooks, I wrote only English words, Japanese meanings, and synonyms. So I sometimes had trouble making English sentences because I didn't know how to choose the correct English word. By incorporating example sentences and word map like the second example and the fourth example, I can make efforts to realize the improvement of my English skills. I will practice these ways in order to make the best vocabulary notebook for me."
114,"There were only English words and Japanese meanings in my vocabulary notebook. I had thought it was enough. However, When I saw several notebook example, I noticed my notebook was incomplete. I should write accents , pronunciation, example sentences and family words. It may take a lot of time. But if I do not so, it'll take more much time to remember and understand English words. I want to improve my English notebook and make my English ability better!!"
115,"I have made vocabulary notebooks only like first type. It is easy to make, and it is specialized in memorizing only English words and their meanings. However, especially when I write English compositions, I have no idea on how to use and link English words, even if I know words and their meanings. Just being linked with their meanings doesn't consist right sentences. So it is necessary to learn collocations."
