48,ry shocked about it. If North <<KOREA>> succeeded in launching the mi,Korea,korea,chorea,Korea,korma,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,ng one's face through cosmetic-<<SURGEURY>>.Patients have to run a risk a,surgery,surgeury,surgery,surge,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,I don't know <<WETHER>> cosmetic-surgery is right act,whether,wether,ether,weather,whether,wither,nether,wetter,tether,w ether,wet her,wet-her,NA,NA,NA,NA,NA,NA
51,"own looks is very important. <<ACUTUALLY>>, people appearing on TV progr",Actually,Acutually,Actually,Mutually,Acutely,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53,stige and to congratulate Kim <<JONG>>-un for assuming the new leade,Jong,Jong,Jon,Song,Joni,Tong,Long,Dong,Jung,Gong,Pong,Bong,Cong,Hong,Yong,Kong,NA,NA
53,e and to congratulate Kim Jong-<<UN>> for assuming the new leader.,un,un,UN,nu,in,um,u,n,sun,uni,nun,urn,run,tun,dun,gun,mun,NA
55,launch is for celebrating Kim <<IL>> Sung's birthday or appealing,Il,Il,IL,I,L,Ila,Ill,Ia,In,Ir,It,Io,Ll,Cl,Ml,Pl,Bl,NA
55,g's birthday or appealing Kim <<JONG>>-un's authority. Also I guesse,Jong,Jong,Jon,Song,Joni,Tong,Long,Dong,Jung,Gong,Pong,Bong,Cong,Hong,Yong,Kong,NA,NA
55,birthday or appealing Kim Jong-<<UN'S>> authority. Also I guessed tha,Un's,un's,nu's,in's,sun's,nun's,urn's,run's,tun's,dun's,gun's,pun's,bun's,fun's,Sun's,Hun's,en's,NA
58,ology can get rid of person's <<UNCONFIDENT>> looks and make person's life,unconfident,unconfident,confident,unconfined,confidence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60,"way, I can agree with cosmetic-<<SURGEY>> except for liposuction.",surgery,surgey,surge,surgery,surges,surrey,surged,survey,surge y,NA,NA,NA,NA,NA,NA,NA,NA,NA
60,"thin, they should reconsider <<THIER>> dietary habit and start exerc",their,thier,their,tier,shier,trier,thief,thither,hither,NA,NA,NA,NA,NA,NA,NA,NA,NA
60,know some people cannot lose <<THIER>> weight because of some kind o,their,thier,their,tier,shier,trier,thief,thither,hither,NA,NA,NA,NA,NA,NA,NA,NA,NA
62,"ked to do cosmetic surgery, I <<DEFINETELY>> won't do that. It seems very",definitely,definetely,definitely,definitively,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63,ould not be a problem at all. <<SHIZUKAMIYAZATO>> said he can't understand at a,Shizukamiyazato,Shizukamiyazato,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75,"nice face, however we should <<ACCCEPT>> each inborn face.However ugly",accept,acccept,accept,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75,"wants to be handsome, pretty, <<BEATIFUL>>, or nice face, however we sho",beautiful,beatiful,beautiful,beatific,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
76,"urgery,but I don't want to do <<COSMETICPRODURE>>. Because it take a lot of mon",cosmetic procedure,cosmeticprodure,counterproductive,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
76,"ooked at the picture of Bruce <<FORSYTH>>, I was surprised at the size",Forsyth,Forsyth,Forsythia,Forsooth,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
77,Thinking to want to <<RESTOR>> our youthful look is good .So,restore,restor,roster,restore,resort,rector,Nestor,res tor,res-tor,rest or,rest-or,resistor,reforest,presto,store,NA,NA,NA
80,"or face. Furthermore, as the <<AIRTICLE>>, if people are operated, most",article,airticle,article,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
80,heir bodies or face will lose <<THIER>> shapes. It is true that if yo,their,thier,their,tier,shier,trier,thief,thither,hither,NA,NA,NA,NA,NA,NA,NA,NA,NA
82,"rica or Korea, many people do <<CONSMETIC>> surgery in order to become yo",cosmetic,consmetic,cosmetic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82,ery. This is because Japanese <<ENVIRONEMENT>> can't accept cosmetic surgery,environment,environement,environment,enthronement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
83,"te meanings, parts of speech, <<PRONOUCIATION>>, accent, and examples. Moreov",pronunciation,pronouciation,pronunciation,propitiation,prognostication,appropriation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
83,"I tried to make good <<VOCABRARY>> notes every time, but I have",vocabulary,vocabrary,vocabulary,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
83,"never made perfect <<VOCABRARY>> notes. Also, this is the firs",vocabulary,vocabrary,vocabulary,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
83,ought about how to write good <<VOCABRARY>> notes again. I saw some notes,vocabulary,vocabrary,vocabulary,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
83,"s are important part for good <<VOCABRARY>> notes. By using world maps, w",vocabulary,vocabrary,vocabulary,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
83,"n, I want to make a beautiful <<VOCABRARY>> note in order to improve my E",vocabulary,vocabrary,vocabulary,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
86,r taking the surgery might be <<DIFFRENT>> from your ideal. I recommend,different,diffrent,different,diff rent,diff-rent,diffident,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
89,"plasic surgery (Not sure all <<KOREAN>> or only women). Also, many of",Korean,korean,Korean,oregano,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
89,ticle that 80% of Korean have <<PLASIC>> surgery (Not sure all korean,plastic,plasic,plastic,Vlasic,classic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
89,"r hand, Japanese want to hide <<WETHER>> they had plastic surgery. I t",whether,wether,ether,weather,whether,wither,nether,wetter,tether,w ether,wet her,wet-her,NA,NA,NA,NA,NA,NA
90,I have <<MAKED>> vocabrary notes just like the,made,maked,naked,makes,make,masked,marked,miked,maned,maker,raked,mated,maced,caked,baked,faked,waked,NA
90,ealized it is not good when I <<READED>> this article. My note is no a,read,readed,readied,dreaded,breaded,reader,reared,leaded,reamed,reaped,headed,beaded,read ed,read-ed,retreaded,threaded,redhead,NA
90,I have maked <<VOCABRARY>> notes just like the first exa,vocabulary,vocabrary,vocabulary,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
90,a good note refer to example <<VOCABRARY>> notes .,vocabulary,vocabrary,vocabulary,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
91,I have <<MAKED>> my original vocabulary notebo,made,maked,naked,makes,make,masked,marked,miked,maned,maker,raked,mated,maced,caked,baked,faked,waked,NA
92,o good. Faces are one of most <<CHARACTARISTIC>> parts of people. To process t,characteristic,charactaristic,characteristic,charismatic,aristocratic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
93,be necessary to write English <<COMPOTISION>>. When I make my vocablary not,composition,compotision,composition,competition,compassion,compunction,compaction,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
93,refer to the third example of <<VOCABLARY>> note because each main words,vocabulary,vocablary,vocabulary,vocable,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
93,"h compotision. When I make my <<VOCABLARY>> note, I want to add the meani",vocabulary,vocablary,vocabulary,vocable,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
93,e my English skill by ma king <<VOCABLARY>> note.,vocabulary,vocablary,vocabulary,vocable,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
94,up carefully etc----- Because <<CAREFULY>> vocabulary note is motivated,carefully,carefuly,careful,carefully,careful y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
95,notebooks will be better. I'm <<AFTEN>> puzzled about how to use word,often,aften,after,often,aft en,aft-en,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
95,"So far, I have written only <<JAPANESE>> meanings and synonyms in my v",Japanese,japanese,Japanese,japanned,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
95,d. Writing part of speech and <<PRONOUNCIATION>> may also be good way of impro,pronunciation,pronounciation,pronunciation,renunciation,annunciation,propitiation,appropriation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
95,en to native native speaker's <<PRONOUNCIATION>>.,pronunciation,pronounciation,pronunciation,renunciation,annunciation,propitiation,appropriation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
95,"to use words when writing and <<SPEASKING>>. Now,I'll try this new method",speaking,speasking,speaking,speakings,spearing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
96,"ry. They believe that if they <<GAT>> their ideal bodies and faces,",get,gat,tag,fat,hat,gar,gay,gt,at,gate,gait,gnat,goat,ghat,get,eat,gas,NA
97,an get your confidence. Machi <<HATTORI>>,**name**,Hattori,Oratorio,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
97,you can get your confidence. <<MACHI>> Hattori,**name**,Machi,Mach,Mac hi,Mac-hi,Mach i,Macho,Ma chi,Ma-chi,Malachi,Mariachi,NA,NA,NA,NA,NA,NA,NA
97,ir identity. I argue that you <<SOULD>> accept your appearance and ma,should,sould,souls,soul,sold,should,sound,could,would,Gould,soul d,NA,NA,NA,NA,NA,NA,NA
98,keep on learning them through <<JAPNANESE>>. I also recommend to learn En,Japanese,Japnanese,Japanese,Javanese,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
98,for those who is not good at <<REMENBERING>> words: Aren't you using many,remembering,remenbering,remembering,rendering,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
98,English using an illustrative <<SENTENSE>>. It is very effective to know,sentence,sentense,sentence,sen tense,sen-tense,intense,tenseness,sentient,seventeen,NA,NA,NA,NA,NA,NA,NA,NA,NA
99,"learn their accents, you can <<PRONOUCE>> them. So you are able to lear",pronounce,pronouce,pronounce,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
99,"to collocation. Therefore, I <<RECCOMEND>> three points.",recommend,reccomend,recommend,recommenced,recommence,commend,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
99,"is necessary to write example <<SEMTENCES>>. Finally, you should write th",sentences,semtences,sentences,sentence,senescence,essences,essence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
99,"sentences of them. By example <<SENTENSES>>, you will be able to learn ho",sentences,sentenses,sentences,sen tenses,sen-tenses,sentence,tenseness,seventeens,pretenses,NA,NA,NA,NA,NA,NA,NA,NA,NA
102,"was a high school student, I <<MAKED>> my vocabulary notebook. But i",made,maked,naked,makes,make,masked,marked,miked,maned,maker,raked,mated,maced,caked,baked,faked,waked,NA
102,ngs of the words. I think the <<VOCABURALY>> note is practical more. So I,vocabulary,vocaburaly,vocabulary,irrevocably,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
105,I am <<OPPOSSED>> to cosmetic surgery.This is b,opposed,oppossed,opposed,possessed,oppressed,oppose,supposed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
107,we want to need about English <<VOCABLARY>> notebook is different from ea,vocabulary,vocablary,vocabulary,vocable,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
107,"no practical use.So refer to '<<VOCABLARY>> Notebooks',I am going to sear",Vocabulary,Vocablary,Vocabulary,Vocable,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
108,There are <<DEFFERENCE>> detweem studying English and,difference,defference,deference,difference,reference,deterrence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
108,There are defference <<DETWEEM>> studying English and just lea,between,detweem,tweet,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
108,English words and meaning by <<JAPANEN>> or English.,Japanese,japanen,japan en,japan-en,japanned,japan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
112,I think <<ENGLISH>> meaning notebook is the best.,English,english,English,glisten,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
112,I have been made <<ENGLISH>> meaning notebooks which writt,English,english,English,glisten,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
114,"le, I noticed my notebook was <<IMCOMPLETE>>. I should write accents , pro",incomplete,imcomplete,incomplete,complete,completion,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
115,pecialized in memorizing only <<ENGLISH>> words and their meanings. How,English,english,English,glisten,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
115,"o idea on how to use and link <<ENGLISH>> words, even if I know words a",English,english,English,glisten,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
118,s to improve. I realized that <<ELECTRONNICDICTIONARY>> has example scenteces and pno,electronic dictionary,electronnicdictionary,electromagnetically,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
118,"to improve my noe and did it, <<HOe\wever, I still have some poin",However,HOe\wever,Hoe,He,HOV,Hie,Hue,How,Ho,Hoes,Hose,Shoe,Hone,Hoer,Hole,NA,NA,NA
118,I thought that I <<HSVE>> to improve my note. After las,have,hsve,have,hive,hove,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
118,"thought I have to improve my <<NOE>> and did it, HOe\wever, I stil",note,noe,nu,one,eon,Noe,now,nor,no,noes,nose,none,note,noel,node,nope,nee,NA
118,"ary has example scenteces and <<PNONUNCISTIONS>>, but it is not enough to make",pronunciations,pnonuncistions,pronunciations,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
118,"tronnicdictionary has example <<SCENTECES>> and pnonuncistions, but it is",sentences,scenteces,scentless,sentences,senescent,scented,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
119,"cent. Third, I added synonym, <<MEMERIZING>> synonym provide people to mem",memorizing,memerizing,mesmerizing,memorizing,mercerizing,polymerizing,memorializing,metricizing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
120,I firmly think <<COMMITING>> a cosmetic surgery is not goo,committing,commiting,commuting,committing,commingling,commenting,commingle,computing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
120,good. I always emphasis that <<NATURALITY>> is the best. Naturality helps,naturality,naturality,naturalist,naturalism,naturalize,nationality,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
120,that naturality is the best. <<NATURALITY>> helps people to maintain own,Naturality,Naturality,Naturalist,Naturalism,Naturalize,Nationality,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
125,r thought about 'What makes a <<GOOOD>> vocaburary book'. However in,good,goood,good,godhood,goo,god,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
125,ght about 'What makes a goood <<VOCABURARY>> book'. However in this class,vocabulary,vocaburary,vocabulary,irrevocably,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
125,t chance to see many types of <<VOCABURARY>> books and to think which one,vocabulary,vocaburary,vocabulary,irrevocably,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
126,rry to be late for posting my <<COMME NT>>. I felt you should think h,comment,comme nt,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
126,be late for posting my <<COMME NT>>. I felt you should think how,comment,comme nt,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
127,"nning. Although she could not <<RECIEVE>> the official medal, she must",receive,recieve,receive,relieve,reverie,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
127,"o walk by the support of the '<<REWALK>> suit', it must be hard for he",ReWalk,ReWalk,Re Walk,Re-walk,Walker,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
127,must be very happy to get the <<SPECCILA>> medals which a dozen of other,special,speccila,special,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
128,I used to make <<VOCABRARY>> notes in many ways when I was,vocabulary,vocabrary,vocabulary,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
128,I think 'Word Map' is a good <<VOCABRARY>> note.,vocabulary,vocabrary,vocabulary,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
129,"support is important for her <<CHALLENG>>. For the reason,it was able t",challenge,challeng,challenge,changeable,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
129,and I respect her challenging <<SPILIT>>. If I am same position as her,spirit,spilit,split,spirit,spit,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
130,"them. Also, I noticed Claire <<LOMAS'S>> great perseverance. As ID1242",Lomas's,Lomas's,Tomas's,Mallomars's,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
130,lity of the bionic suit. This <<REWALK>> suit could prove that enable,ReWalk,ReWalk,Re Walk,Re-walk,Walker,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
132,it made my heart warm because <<LOMAS>> never gave up during the race,Lomas,Lomas,Comas,Tomas,Lamas,Lo mas,Lo-mas,Diplomas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
134,"e. Because I would expect Kim <<JONG>>-un to reset his country,gover",Jong,jong,jog,song,tong,long,dong,gong,pong,bong,Long,Cong,Hong,Yong,Kong,Wong,joking,NA
134,ar missile means North Korean <<PEAPLE>> is more severe life. Now Nort,people,peaple,people,leaper,appeal,apple,plea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
134,"ecause I would expect Kim jong-<<UN>> to reset his country,govern p",un,un,UN,nu,in,um,u,n,sun,uni,nun,urn,run,tun,dun,gun,mun,NA
135,yond my imagination until she <<CONPLETED>> the marathon course. I respec,completed,conpleted,completed,complected,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
135,waist will be able to walk as <<TENOLOGY>> develops and bionic suit beco,technology,tenology,oenology,penology,technology,teleology,ethnology,entomology,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
