30/09/2022,context,change_to,typo,suggestions_01,suggestions_02,suggestions_03,suggestions_04,suggestions_05,suggestions_06,suggestions_07,suggestions_08,suggestions_09,suggestions_10,suggestions_11,suggestions_12,suggestions_13,suggestions_14,suggestions_15
7,"e killed. As soon as Kim Jong-<<UN>> get this state,he purged a hi",un,un,UN,nu,in,um,u,n,sun,uni,nun,urn,run,tun,dun,gun,mun
8,"my classmates said, Japanese <<GOERNMENT>> should keep more strict watch",government,goernment,government,engorgement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,t this incident became a good <<OPORTUNITY>> of thinking about system of J,NA,oportunity,opportunity,importunity,opportunist,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,". and also same as ID1204 and <<SHIHO>>0618, that i think we need to",NA,shiho,shoo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,ociety must think about north <<KOREA>> people's human rights. In my,NA,korea,chorea,Korea,korma,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,ion because obstacle in north <<KOREA>> case is china will not agree,NA,korea,chorea,Korea,korma,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,he rocket failed. North Korea <<WIL>> find out why the rocket faile,will,wil,wile,wail,wilt,will,wild,wily,ail,win,nil,wit,til,oil,wig,mil,wiz
17,d and they <<WIL>>l learn to launch a rocket suc,will,wil,wile,wail,wilt,will,wild,wily,ail,win,nil,wit,til,oil,wig,mil,wiz
21,"hat rocket debris crashed off <<KUNSAN>>,I felt fear suddenly.i reconf",NA,Kunsan,Kansan,Arkansan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,I didn't worry about it and I <<THOUGT>> that everyone too made a fuss,thought,thougt,thought,though,thou gt,thou-gt,thorough,thou,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,↑ the nation of North Korea <<HD>> better purge Kim family FROM,had,hd,hf,h,d,hid,had,hod,he,ed,hi,id,ha,ad,hr,rd,ht
23,"Korea to stop making weapons. <<INORDER>> to persuade North Korea, we n",NA,Inorder,In order,In-order,Orderings,Order,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,"pan should keep on putting on <<PRESURE>> to North Korea, and should ke",NA,presure,pressure,presume,pressurize,suppress,press,pres,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,"s not on food for its people. <<FURTHEMORE>>, the U.S. heard the launch an",Furthermore,Furthemore,Furthermore,Furthermost,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,I was <<RELEAVED>> to hear that North Korea fail,NA,releaved,revealed,released,re leaved,re-leaved,leaved,leavened,bereaved,raveled,NA,NA,NA,NA,NA,NA,NA
30,ould also persuade China into <<JOINIING>> in United Nations Security Co,NA,joiniing,joining,jointing,jogging,joking,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,"I thought that North Korea <<DOES'T>> govern to the people, though",doesn't,does't,doesn't,does,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,r energy' s factory and solve <<STARVETION>>.,NA,starvetion,starvation,stationer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,t is very terrible that North <<KORIA>>'s rocket broke up around Japa,NA,Koria,Korea,Korma,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,"not for countries like North <<KORIA>>, our world would be peaceful.",NA,Koria,Korea,Korma,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,t is very terrible that North <<KORIA'S>> rocket broke up around Japane,Korea's,Koria's,Korea's,Astoria's,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,"cket broke up around Japanese <<TERITORY>>. If it had become reality, we",NA,teritory,territory,iterator,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,"elieved of the failure of the <<DPRK>>'s launching the missile. But,",DPRK,DPRK,DORK,DIRK,DARK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,"at of that since they, I mean <<DPRK>>, always fail to do such a thi",DPRK,DPRK,DORK,DIRK,DARK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,"elieved of the failure of the <<DPRK'S>> launching the missile. But, I",DPRK's,DPRK's,Dork's,Dirk's,Dark's,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,"osed some sanction from other <<CONTRIES>>,as it disturbed order.If econ",countries,contries,countries,contrives,con tries,con-tries,contraries,contrition,congeries,NA,NA,NA,NA,NA,NA,NA,NA
37,lf and to go along with other <<CONTRIES>>.,countries,contries,countries,contrives,con tries,con-tries,contraries,contrition,congeries,NA,NA,NA,NA,NA,NA,NA,NA
38,my opinion that however North <<KOREA'ROCKET>> launch gave rise to criticism,Korea's rocket,Korea'rocket,Retrorocket,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,"eve its aim,suply of food and <<MANEY>> and oil and so on.",NA,maney,mane,many,meany,manes,matey,money,manly,maned,mangy,manky,Taney,Haney,mane y,NA,NA
38,"will fail to achieve its aim,<<SUPLY>> of food and maney and oil and",NA,suply,supply,surly,sully,suppl,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,"ll over the world,North Korea <<WIL>> launch rocket again. But beca",will,wil,wile,wail,wilt,will,wild,wily,ail,win,nil,wit,til,oil,wig,mil,wiz
38,"round North Korea,North Korea <<WIL>>l fail to achieve its aim,supl",will,wil,wile,wail,wilt,will,wild,wily,ail,win,nil,wit,til,oil,wig,mil,wiz
40,"changed better after Kim Jong <<IL'S>> death in North Korea.In fact,",Il's,Il's,I's,Ila's,In's,Ir's,Io's,Al's,Tl's,Cl's,ID's,IV's,Eel's,Nil's,Oil's,Ill's,Mil's
40,ight changed better after Kim <<JONG>> Il's death in North Korea.In,NA,Jong,Jon,Song,Joni,Tong,Long,Dong,Jung,Gong,Pong,Bong,Cong,Hong,Yong,Kong,NA
40,e must pay attention to North <<KOREA>>.,NA,korea,chorea,Korea,korma,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,structure of North Korea. The <<LOUNCH>> of rocket failed this time.Bu,NA,lounch,lunch,launch,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,the implant in own face? Its <<SOOOO>> horrible!,NA,soooo,soot,soon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,"sile, it produced a number of <<CASUALITIES>> 20% of the time! We cannot gu",casualities,casualities,causalities,casualties,actualities,suitcases,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,rticle which I read after the <<ENGLISH>> class made my mind. The artic,English,english,English,glisten,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,ry shocked about it. If North <<KOREA>> succeeded in launching the mi,NA,korea,chorea,Korea,korma,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,g one's face through cosmetic-<<SURGEURY>>.Patients have to run a risk a,NA,surgeury,surgery,surge,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,I don't know <<WETHER>> cosmetic-surgery is right act,whether,wether,ether,weather,whether,wither,nether,wetter,tether,w ether,wet her,wet-her,NA,NA,NA,NA,NA
51,"own looks is very important. <<ACUTUALLY>>, people appearing on TV progr",Actually,Acutually,Actually,Mutually,Acutely,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53,stige and to congratulate Kim <<JONG>>-un for assuming the new leade,NA,Jong,Jon,Song,Joni,Tong,Long,Dong,Jung,Gong,Pong,Bong,Cong,Hong,Yong,Kong,NA
53,h Korea's long-range rocket la<<UN>>ching was to boost national pr,un,un,UN,nu,in,um,u,n,sun,uni,nun,urn,run,tun,dun,gun,mun
53,and to congratulate Kim Jong-<<UN>> for assuming the new leader.,un,un,UN,nu,in,um,u,n,sun,uni,nun,urn,run,tun,dun,gun,mun
53,owever North Korea's rocket la<<UN>>ch failed. This failure to lau,un,un,UN,nu,in,um,u,n,sun,uni,nun,urn,run,tun,dun,gun,mun
55,launch is for celebrating Kim <<IL>> Sung's birthday or appealing,NA,Il,IL,I,L,Ila,Ill,Ia,In,Ir,It,Io,Ll,Cl,Ml,Pl,Bl
55,g's birthday or appealing Kim <<JONG>>-un's authority. Also I guesse,NA,Jong,Jon,Song,Joni,Tong,Long,Dong,Jung,Gong,Pong,Bong,Cong,Hong,Yong,Kong,NA
55,irthday or appealing Kim Jong-<<UN'S>> authority. Also I guessed tha,Un's,un's,nu's,in's,sun's,nun's,urn's,run's,tun's,dun's,gun's,pun's,bun's,fun's,Sun's,Hun's,en's
58,ology can get rid of person's <<UNCONFIDENT>> looks and make person's life,unconfident,unconfident,confident,unconfined,confidence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60,"ay, I can agree with cosmetic-<<SURGEY>> except for liposuction.",NA,surgey,surge,surgery,surges,surrey,surged,survey,surge y,NA,NA,NA,NA,NA,NA,NA,NA
60,"thin, they should reconsider <<THIER>> dietary habit and start exerc",NA,thier,their,tier,shier,trier,thief,thither,hither,NA,NA,NA,NA,NA,NA,NA,NA
60,know some people cannot lose <<THIER>> weight because of some kind o,NA,thier,their,tier,shier,trier,thief,thither,hither,NA,NA,NA,NA,NA,NA,NA,NA
62,"ked to do cosmetic surgery, I <<DEFINETELY>> won't do that. It seems very",definitely,definetely,definitely,definitively,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63,ould not be a problem at all. <<SHIZUKAMIYAZATO>> said he can't understand at a,NA,Shizukamiyazato,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75,"nice face, however we should <<ACCCEPT>> each inborn face.However ugly",accept,acccept,accept,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75,"wants to be handsome, pretty, <<BEATIFUL>>, or nice face, however we sho",beautiful,beatiful,beautiful,beatific,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
76,"urgery,but I don't want to do <<COSMETICPRODURE>>. Because it take a lot of mon",cosmetic procedure,cosmeticprodure,counterproductive,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
76,"ooked at the picture of Bruce <<FORSYTH>>, I was surprised at the size",Forsyth,Forsyth,Forsythia,Forsooth,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
77,Thinking to want to <<RESTOR>> our youthful look is good .So,NA,restor,roster,restore,resort,rector,Nestor,res tor,res-tor,rest or,rest-or,resistor,reforest,presto,store,NA,NA
80,"or face. Furthermore, as the <<AIRTICLE>>, if people are operated, most",article,airticle,article,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
80,heir bodies or face will lose <<THIER>> shapes. It is true that if yo,NA,thier,their,tier,shier,trier,thief,thither,hither,NA,NA,NA,NA,NA,NA,NA,NA
82,"rica or Korea, many people do <<CONSMETIC>> surgery in order to become yo",cosmetic,consmetic,cosmetic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82,ery. This is because Japanese <<ENVIRONEMENT>> can't accept cosmetic surgery,environment,environement,environment,enthronement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
83,"te meanings, parts of speech, <<PRONOUCIATION>>, accent, and examples. Moreov",NA,pronouciation,pronunciation,propitiation,prognostication,appropriation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
83,"I tried to make good <<VOCABRARY>> notes every time, but I have",vocabulary,vocabrary,vocabulary,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
83,"never made perfect <<VOCABRARY>> notes. Also, this is the firs",vocabulary,vocabrary,vocabulary,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
83,ought about how to write good <<VOCABRARY>> notes again. I saw some notes,vocabulary,vocabrary,vocabulary,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
83,"s are important part for good <<VOCABRARY>> notes. By using world maps, w",vocabulary,vocabrary,vocabulary,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
83,"n, I want to make a beautiful <<VOCABRARY>> note in order to improve my E",vocabulary,vocabrary,vocabulary,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
86,r taking the surgery might be <<DIFFRENT>> from your ideal. I recommend,different,diffrent,different,diff rent,diff-rent,diffident,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
89,"plasic surgery (Not sure all <<KOREAN>> or only women). Also, many of",NA,korean,Korean,oregano,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
89,ticle that 80% of Korean have <<PLASIC>> surgery (Not sure all korean,NA,plasic,plastic,Vlasic,classic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
89,"r hand, Japanese want to hide <<WETHER>> they had plastic surgery. I t",whether,wether,ether,weather,whether,wither,nether,wetter,tether,w ether,wet her,wet-her,NA,NA,NA,NA,NA
90,I have <<MAKED>> vocabrary notes just like the,NA,maked,naked,makes,make,masked,marked,miked,maned,maker,raked,mated,maced,caked,baked,faked,waked
90,ealized it is not good when I <<READED>> this article. My note is no a,NA,readed,readied,dreaded,breaded,reader,reared,leaded,reamed,reaped,headed,beaded,read ed,read-ed,retreaded,threaded,redhead
90,I have maked <<VOCABRARY>> notes just like the first exa,vocabulary,vocabrary,vocabulary,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
90,a good note refer to example <<VOCABRARY>> notes .,vocabulary,vocabrary,vocabulary,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
91,I have <<MAKED>> my original vocabulary notebo,NA,maked,naked,makes,make,masked,marked,miked,maned,maker,raked,mated,maced,caked,baked,faked,waked
92,o good. Faces are one of most <<CHARACTARISTIC>> parts of people. To process t,characteristic,charactaristic,characteristic,charismatic,aristocratic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
93,be necessary to write English <<COMPOTISION>>. When I make my vocablary not,composition,compotision,composition,competition,compassion,compunction,compaction,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
93,refer to the third example of <<VOCABLARY>> note because each main words,vocabulary,vocablary,vocabulary,vocable,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
93,"h compotision. When I make my <<VOCABLARY>> note, I want to add the meani",vocabulary,vocablary,vocabulary,vocable,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
93,e my English skill by ma king <<VOCABLARY>> note.,vocabulary,vocablary,vocabulary,vocable,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
94,up carefully etc----- Because <<CAREFULY>> vocabulary note is motivated,carefully,carefuly,careful,carefully,careful y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
95,notebooks will be better. I'm <<AFTEN>> puzzled about how to use word,often,aften,after,often,aft en,aft-en,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
95,"So far, I have written only <<JAPANESE>> meanings and synonyms in my v",NA,japanese,Japanese,japanned,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
95,d. Writing part of speech and <<PRONOUNCIATION>> may also be good way of impro,NA,pronounciation,pronunciation,renunciation,annunciation,propitiation,appropriation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
95,en to native native speaker's <<PRONOUNCIATION>>.,NA,pronounciation,pronunciation,renunciation,annunciation,propitiation,appropriation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
95,"to use words when writing and <<SPEASKING>>. Now,I'll try this new method",NA,speasking,speaking,speakings,spearing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
96,"ry. They believe that if they <<GAT>> their ideal bodies and faces,",get,gat,tag,fat,hat,gar,gay,gt,at,gate,gait,gnat,goat,ghat,get,eat,gas
97,an get your confidence. Machi <<HATTORI>>,NA,Hattori,Oratorio,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
97,you can get your confidence. <<MACHI>> Hattori,NA,Machi,Mach,Mac hi,Mac-hi,Mach i,Macho,Ma chi,Ma-chi,Malachi,Mariachi,NA,NA,NA,NA,NA,NA
97,ir identity. I argue that you <<SOULD>> accept your appearance and ma,NA,sould,souls,soul,sold,should,sound,could,would,Gould,soul d,NA,NA,NA,NA,NA,NA
98,keep on learning them through <<JAPNANESE>>. I also recommend to learn En,NA,Japnanese,Japanese,Javanese,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
98,for those who is not good at <<REMENBERING>> words: Aren't you using many,NA,remenbering,remembering,rendering,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
98,English using an illustrative <<SENTENSE>>. It is very effective to know,NA,sentense,sentence,sen tense,sen-tense,intense,tenseness,sentient,seventeen,NA,NA,NA,NA,NA,NA,NA,NA
99,"learn their accents, you can <<PRONOUCE>> them. So you are able to lear",NA,pronouce,pronounce,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
99,"to collocation. Therefore, I <<RECCOMEND>> three points.",NA,reccomend,recommend,recommenced,recommence,commend,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
99,"is necessary to write example <<SEMTENCES>>. Finally, you should write th",NA,semtences,sentences,sentence,senescence,essences,essence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
99,"sentences of them. By example <<SENTENSES>>, you will be able to learn ho",NA,sentenses,sentences,sen tenses,sen-tenses,sentence,tenseness,seventeens,pretenses,NA,NA,NA,NA,NA,NA,NA,NA
102,"was a high school student, I <<MAKED>> my vocabulary notebook. But i",NA,maked,naked,makes,make,masked,marked,miked,maned,maker,raked,mated,maced,caked,baked,faked,waked
102,ngs of the words. I think the <<VOCABURALY>> note is practical more. So I,vocabulary,vocaburaly,vocabulary,irrevocably,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
105,I am <<OPPOSSED>> to cosmetic surgery.This is b,NA,oppossed,opposed,possessed,oppressed,oppose,supposed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
107,we want to need about English <<VOCABLARY>> notebook is different from ea,vocabulary,vocablary,vocabulary,vocable,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
107,"no practical use.So refer to '<<VOCABLARY>> Notebooks',I am going to sear",Vocabulary,Vocablary,Vocabulary,Vocable,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
108,There are <<DEFFERENCE>> detweem studying English and,difference,defference,deference,difference,reference,deterrence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
108,There are defference <<DETWEEM>> studying English and just lea,between,detweem,tweet,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
108,English words and meaning by <<JAPANEN>> or English.,NA,japanen,japan en,japan-en,japanned,japan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
112,I think <<ENGLISH>> meaning notebook is the best.,English,english,English,glisten,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
112,I have been made <<ENGLISH>> meaning notebooks which writt,English,english,English,glisten,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
114,"le, I noticed my notebook was <<IMCOMPLETE>>. I should write accents , pro",NA,imcomplete,incomplete,complete,completion,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
115,pecialized in memorizing only <<ENGLISH>> words and their meanings. How,English,english,English,glisten,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
115,"o idea on how to use and link <<ENGLISH>> words, even if I know words a",English,english,English,glisten,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
118,s to improve. I realized that <<ELECTRONNICDICTIONARY>> has example scenteces and pno,electronic dictionary,electronnicdictionary,electromagnetically,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
118,"to improve my noe and did it, <<HOE>>\wever, I still have some poin",NA,HOe,Hoe,He,HOV,Hie,Hue,How,Ho,Hoes,Hose,Shoe,Hone,Hoer,Hole,NA,NA
118,I thought that I <<HSVE>> to improve my note. After las,NA,hsve,have,hive,hove,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
118,"thought I have to improve my <<NOE>> and did it, HOe\wever, I stil",NA,noe,nu,one,eon,Noe,now,nor,no,noes,nose,none,note,noel,node,nope,nee
118,"ary has example scenteces and <<PNONUNCISTIONS>>, but it is not enough to make",NA,pnonuncistions,pronunciations,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
118,"tronnicdictionary has example <<SCENTECES>> and pnonuncistions, but it is",NA,scenteces,scentless,sentences,senescent,scented,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
118,"mprove my noe and did it, HOe\<<WEVER>>, I still have some points to",wever,wever,weer,ever,weaver,sever,waver,never,lever,fever,w ever,NA,NA,NA,NA,NA,NA
119,"cent. Third, I added synonym, <<MEMERIZING>> synonym provide people to mem",NA,memerizing,mesmerizing,memorizing,mercerizing,polymerizing,memorializing,metricizing,NA,NA,NA,NA,NA,NA,NA,NA,NA
120,I firmly think <<COMMITING>> a cosmetic surgery is not goo,committing,commiting,commuting,committing,commingling,commenting,commingle,computing,NA,NA,NA,NA,NA,NA,NA,NA,NA
120,good. I always emphasis that <<NATURALITY>> is the best. Naturality helps,NA,naturality,naturalist,naturalism,naturalize,nationality,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
120,that naturality is the best. <<NATURALITY>> helps people to maintain own,NA,Naturality,Naturalist,Naturalism,Naturalize,Nationality,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
125,r thought about 'What makes a <<GOOOD>> vocaburary book'. However in,good,goood,good,godhood,goo,god,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
125,ght about 'What makes a goood <<VOCABURARY>> book'. However in this class,vocabulary,vocaburary,vocabulary,irrevocably,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
125,t chance to see many types of <<VOCABURARY>> books and to think which one,vocabulary,vocaburary,vocabulary,irrevocably,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
126,rry to be late for posting my <<COMME>> nt. I felt you should think h,NA,comme,comm,come,commie,comma,Somme,com me,com-me,comm e,NA,NA,NA,NA,NA,NA,NA
126,be late for posting my comme <<NT>>. I felt you should think how,NA,nt,NT,tn,mt,n,t,net,nit,int,ant,not,nut,nth,Ont,st,it
126,dences shows you and your pare<<NT>>s are family. So you should tr,NA,nt,NT,tn,mt,n,t,net,nit,int,ant,not,nut,nth,Ont,st,it
127,"nning. Although she could not <<RECIEVE>> the official medal, she must",NA,recieve,receive,relieve,reverie,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
127,"o walk by the support of the '<<REWALK>> suit', it must be hard for he",NA,ReWalk,Re Walk,Re-walk,Walker,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
127,must be very happy to get the <<SPECCILA>> medals which a dozen of other,NA,speccila,special,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
128,I used to make <<VOCABRARY>> notes in many ways when I was,vocabulary,vocabrary,vocabulary,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
128,I think 'Word Map' is a good <<VOCABRARY>> note.,vocabulary,vocabrary,vocabulary,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
129,impression in this tale. Her <<CHALLENG>>e is very amazing and I respec,challenge,challeng,challenge,changeable,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
129,t her <<CHALLENG>>ing spilit. If I am same posit,challenge,challeng,challenge,changeable,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
129,"support is important for her <<CHALLENG>>. For the reason,it was able t",challenge,challeng,challenge,changeable,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
129,and I respect her challenging <<SPILIT>>. If I am same position as her,NA,spilit,split,spirit,spit,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
130,"them. Also, I noticed Claire <<LOMAS'S>> great perseverance. As ID1242",Lomas's,Lomas's,Tomas's,Mallomars's,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
130,lity of the bionic suit. This <<REWALK>> suit could prove that enable,NA,ReWalk,Re Walk,Re-walk,Walker,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
132,it made my heart warm because <<LOMAS>> never gave up during the race,NA,Lomas,Comas,Tomas,Lamas,Lo mas,Lo-mas,Diplomas,NA,NA,NA,NA,NA,NA,NA,NA,NA
134,"e. Because I would expect Kim <<JONG>>-un to reset his country,gover",NA,jong,jog,song,tong,long,dong,gong,pong,bong,Long,Cong,Hong,Yong,Kong,Wong,joking
